Info 0    [14:16:21.863] Starting TS Server
Info 1    [14:16:21.865] Version: 4.5.4
Info 2    [14:16:21.865] Arguments: /Users/samuelbanya/.nvm/versions/node/v16.14.2/bin/node /usr/local/lib/node_modules/typescript/lib/tsserver.js --logFile /Users/samuelbanya/hub/Development/code/phase-1/phase-1-classes-and-instances/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/g1/tzqw879134sg6jrks5nf5nhm0000gn/T/dccf20a6e28af4ed0e616291bebeb0da/tscancellation*
Info 3    [14:16:21.865] Platform: darwin NodeVersion: 16 CaseSensitive: false
Info 4    [14:16:21.865] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [14:16:21.882] Format host information updated
Info 6    [14:16:21.970] Search path: /Users/samuelbanya/hub/Development/code/phase-1/phase-1-classes-and-instances
Info 7    [14:16:21.971] For info: /Users/samuelbanya/hub/Development/code/phase-1/phase-1-classes-and-instances/index.js :: No config files found.
Info 8    [14:16:21.977] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [14:16:22.522] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 544.9294859999791ms
Info 10   [14:16:22.522] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [14:16:22.522] 	Files (19)

Info 12   [14:16:22.523] -----------------------------------------------
Info 13   [14:17:56.649] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [14:17:56.662] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 13.133955999277532ms
Info 15   [14:17:56.662] Different program with same set of files
Info 16   [14:21:18.327] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [14:21:18.341] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 13.373391999863088ms
Info 18   [14:21:18.341] Different program with same set of files
Info 19   [14:21:18.830] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [14:21:18.840] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 9.871000999584794ms
Info 21   [14:21:18.840] Different program with same set of files
Info 22   [14:21:19.133] getCompletionData: Get current token: 0.01201700046658516
Info 23   [14:21:19.133] getCompletionData: Is inside comment: 0.048736000433564186
Info 24   [14:21:19.133] getCompletionData: Get previous token: 0.04453299939632416
Info 25   [14:21:19.134] getCompletionsAtPosition: isCompletionListBlocker: 0.21167799923568964
Info 26   [14:21:19.134] Returning an empty list because completion was requested in an invalid position.
Info 27   [14:21:19.154] getCompletionData: Get current token: 0.005224999971687794
Info 28   [14:21:19.154] getCompletionData: Is inside comment: 0.01399299968034029
Info 29   [14:21:19.154] getCompletionData: Get previous token: 0.018484000116586685
Info 30   [14:21:19.154] getCompletionsAtPosition: isCompletionListBlocker: 0.002389000728726387
Info 31   [14:21:19.154] Returning an empty list because completion was requested in an invalid position.
Info 32   [14:21:19.156] getCompletionData: Get current token: 0.004557999782264233
Info 33   [14:21:19.156] getCompletionData: Is inside comment: 0.013085000216960907
Info 34   [14:21:19.156] getCompletionData: Get previous token: 0.019989999942481518
Info 35   [14:21:19.156] getCompletionsAtPosition: isCompletionListBlocker: 0.0022419998422265053
Info 36   [14:21:19.156] Returning an empty list because completion was requested in an invalid position.
Info 37   [14:21:19.158] getCompletionData: Get current token: 0.0040769996121525764
Info 38   [14:21:19.158] getCompletionData: Is inside comment: 0.014619999565184116
Info 39   [14:21:19.158] getCompletionData: Get previous token: 0.017506000585854053
Info 40   [14:21:19.158] getCompletionsAtPosition: isCompletionListBlocker: 0.002116999588906765
Info 41   [14:21:19.158] Returning an empty list because completion was requested in an invalid position.
Info 42   [14:21:20.232] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
